Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,03/03/2025,"Zelle payment from SHAFI U ANSARI 23897847669",600.00,QUICKPAY_CREDIT,1020.16,,
DEBIT,02/24/2025,"WWW.IRUSA.ORG WWW.IRUSA.ORG VA               02/23",-7.77,DEBIT_CARD,420.16,,
DEBIT,02/18/2025,"Zelle payment to Zaki Ansari 23766979579",-175.00,QUICKPAY_DEBIT,427.93,,
DEBIT,02/18/2025,"TST* DOG HAUS BIERGARTE CHICAGO IL           02/18",-3.64,DEBIT_CARD,602.93,,
DEBIT,02/18/2025,"PAYPAL *Ansari Abrar Visa Direct CA          02/16",-6.57,DEBIT_CARD,606.57,,
DEBIT,02/18/2025,"CRUNCHYROLL.COM CRUNCHYROLL.C TX             02/15",-5.07,DEBIT_CARD,613.14,,
DEBIT,02/11/2025,"Zelle payment to Abdullah Ulhaque 23692628255",-33.00,QUICKPAY_DEBIT,618.21,,
DEBIT,02/11/2025,"LEVY @ FISERV FORUM - C MILWAUKEE WI         02/11",-5.42,DEBIT_CARD,651.21,,
DEBIT,02/10/2025,"WOODMANS FOOD M KENOSHA WI                   02/10",-1.29,DEBIT_CARD,656.63,,
DEBIT,02/07/2025,"Zelle payment to Abdullah Raza JPM99axe1bfl",-13.75,CHASE_TO_PARTNERFI,657.92,,
DEBIT,02/03/2025,"Zelle payment to Jawad US 23585873913",-79.00,QUICKPAY_DEBIT,671.67,,
DEBIT,02/03/2025,"Zelle payment to Zaki Ansari 23239283424",-30.00,QUICKPAY_DEBIT,750.67,,
CREDIT,02/03/2025,"Zelle payment from SHAFI U ANSARI 23576279829",600.00,QUICKPAY_CREDIT,780.67,,
DEBIT,01/31/2025,"Zelle payment to Zaid US 23555613640",-14.00,QUICKPAY_DEBIT,180.67,,
DEBIT,01/30/2025,"TST* HALAL SMASH BURGER CHICAGO IL           01/30",-11.58,DEBIT_CARD,194.67,,
DEBIT,01/29/2025,"AWL*PEARSON EDUCATION PRSONCS.COM NJ         01/29",-54.25,DEBIT_CARD,206.25,,
DEBIT,01/28/2025,"TST* DOG HAUS BIERGARTE CHICAGO IL           01/28",-3.30,DEBIT_CARD,260.50,,
DEBIT,01/27/2025,"Zelle payment to Zaki Ansari 23512821159",-6.38,QUICKPAY_DEBIT,263.80,,
DEBIT,01/24/2025,"TST* HALAL SMASH BURGER CHICAGO IL           01/24",-13.26,DEBIT_CARD,270.18,,
DEBIT,01/21/2025,"Zelle payment to Jawad US 23463099666",-23.00,QUICKPAY_DEBIT,283.44,,
DEBIT,01/21/2025,"Zelle payment to Zaki Ansari 23442382107",-175.00,QUICKPAY_DEBIT,306.44,,
DEBIT,01/16/2025,"CRUNCHYROLL.COM CRUNCHYROLL.C TX             01/15",-5.06,DEBIT_CARD,481.44,,
DEBIT,01/15/2025,"TARGET T- 1154 S CLARK CHICAGO IL            01/15",-10.30,DEBIT_CARD,486.50,,
DEBIT,01/13/2025,"Zelle payment to Abdullah Raza JPM99auos0hp",-13.75,CHASE_TO_PARTNERFI,496.80,,
CREDIT,01/13/2025,"Zelle payment from SHAFI U ANSARI 23363698413",500.00,QUICKPAY_CREDIT,510.55,,
DEBIT,01/02/2025,"Zelle payment to Zaki Ansari 22897919764",-30.00,QUICKPAY_DEBIT,10.55,,
DEBIT,12/19/2024,"FOREIGN EXCHANGE RATE ADJUSTMENT FEE         12/19MUSLIMI.C",-0.35,FEE_TRANSACTION,40.55,,
DEBIT,12/19/2024,"MUSLIMI.COM MARKHAM ON                       12/19 Saudi Riyal44.00 X 0.2661364 (EXCHG RTE)",-11.71,DEBIT_CARD,40.90,,
DEBIT,12/16/2024,"Zelle payment to Jawad US 23055772219",-138.00,QUICKPAY_DEBIT,52.61,,
DEBIT,12/16/2024,"Zelle payment to Zaki Ansari 23055771297",-42.00,QUICKPAY_DEBIT,190.61,,
DEBIT,12/16/2024,"Zelle payment to Zaki Ansari 23055721755",-120.00,QUICKPAY_DEBIT,232.61,,
DEBIT,12/09/2024,"Zelle payment to Jawad US 22986697340",-75.00,QUICKPAY_DEBIT,352.61,,
DEBIT,12/09/2024,"Zelle payment to Abdullah Raza JPM99ashzfhp",-13.75,CHASE_TO_PARTNERFI,427.61,,
DEBIT,12/05/2024,"Zelle payment to Jawad US 22943608032",-180.00,QUICKPAY_DEBIT,441.36,,
DEBIT,12/05/2024,"APPLE.COM/BILL 866-712-7753 CA               12/04",-2.16,DEBIT_CARD,621.36,,
DEBIT,12/05/2024,"APPLE.COM/BILL 866-712-7753 CA               12/04",-3.24,DEBIT_CARD,623.52,,
CREDIT,12/05/2024,"Zelle payment from SHAFI U ANSARI 22943606355",600.00,QUICKPAY_CREDIT,626.76,,
DEBIT,12/04/2024,"Nike.com 800-8066453 CA                      12/04",-74.34,DEBIT_CARD,26.76,,
DEBIT,12/02/2024,"Zelle payment to Zaki Ansari 22563086940",-30.00,QUICKPAY_DEBIT,101.10,,
DEBIT,12/02/2024,"LEGO CHICAGO Chicago IL                      11/29",-55.11,DEBIT_CARD,131.10,,
DEBIT,12/02/2024,"TST* BYRDS CHICAGO - WE CHICAGO IL           11/30",-14.42,DEBIT_CARD,186.21,,
DEBIT,11/29/2024,"Zelle payment to Zaid US 22879846392",-11.00,QUICKPAY_DEBIT,200.63,,
DEBIT,11/29/2024,"TST* BUMPER 2 BURGER - DES PLAINES IL        11/29",-8.49,DEBIT_CARD,211.63,,
DEBIT,11/29/2024,"MILITO'S MOBIL CHICAGO IL                    11/28",-2.41,DEBIT_CARD,220.12,,
DEBIT,11/29/2024,"IDOF FRESH MEDITERRANEA CHICAGO IL           11/27",-13.13,DEBIT_CARD,222.53,,
DEBIT,11/29/2024,"AMC 0475 NEWCITY 14 CHICAGO IL               11/26",-17.91,DEBIT_CARD,235.66,,
CREDIT,11/29/2024,"Zelle payment from SHAFI U ANSARI 22866221994",200.00,QUICKPAY_CREDIT,253.57,,
DEBIT,11/27/2024,"WALGREENS STORE 342 E CHICAGO IL     903487  11/27",-2.03,DEBIT_CARD,53.57,,
DEBIT,11/27/2024,"Zelle payment to Zaid US 22858541705",-25.33,QUICKPAY_DEBIT,55.60,,
DEBIT,11/27/2024,"TST*NYC HALAL EATS ILLI Chicago IL           11/26",-16.59,DEBIT_CARD,80.93,,
DEBIT,11/27/2024,"TEAM REHABILITATION S 586-416-9100 MI        11/25",-120.00,DEBIT_CARD,97.52,,
DEBIT,11/27/2024,"TEAM REHABILITATION S 586-416-9100 MI        11/25",-40.00,DEBIT_CARD,217.52,,
DEBIT,11/25/2024,"Zelle payment to Zaid US 22827398616",-14.00,QUICKPAY_DEBIT,257.52,,
DEBIT,11/25/2024,"TST*CHI TEA BOLINGBROO Bolingbrook IL        11/24",-11.63,DEBIT_CARD,271.52,,
DEBIT,11/25/2024,"Zelle payment to Jawad US 22824533488",-35.00,QUICKPAY_DEBIT,283.15,,
DEBIT,11/25/2024,"MEIJER STORE #214 PLAINFIELD IL              11/23",-24.07,DEBIT_CARD,318.15,,
DEBIT,11/21/2024,"TST* HALAL SMASH BURGER CHICAGO IL           11/21",-6.62,DEBIT_CARD,342.22,,
DEBIT,11/19/2024,"Zelle payment to Jawad US 22769739386",-75.00,QUICKPAY_DEBIT,348.84,,
DEBIT,11/13/2024,"TEAM REHABILITATION S 586-416-9100 MI        11/11",-40.00,DEBIT_CARD,423.84,,
DEBIT,11/12/2024,"COINBASE INC.    8889087930 RTL-F75GD8FE    WEB ID: 1327000623",-20.00,MISC_DEBIT,463.84,,
DEBIT,11/12/2024,"COINBASE INC.    8889087930 RTL-Y2HHYFS2    WEB ID: 1327000623",-200.00,MISC_DEBIT,483.84,,
DEBIT,11/12/2024,"7-ELEVEN CHICAGO IL                          11/11",-1.37,DEBIT_CARD,683.84,,
DEBIT,11/12/2024,"COINBASE, INC. 8325639309 CA                 11/11",-50.00,DEBIT_CARD,685.21,,
DEBIT,11/12/2024,"COINBASE https://www.f CA                    11/11",-50.00,DEBIT_CARD,735.21,,
DEBIT,11/12/2024,"TEAM REHABILITATION S 586-416-9100 MI        11/07",-40.00,DEBIT_CARD,785.21,,
DEBIT,11/07/2024,"Zelle payment to Abdullah Raza JPM99aqrxxzw",-13.75,CHASE_TO_PARTNERFI,825.21,,
DEBIT,11/07/2024,"EXPRESSVPN.COM HTTPSWWW.EXPR DE              11/06",99.95,DEBIT_CARD,838.96,,
DEBIT,11/06/2024,"TEAM REHABILITATION S 586-416-9100 MI        11/04",-40.00,DEBIT_CARD,739.01,,
CREDIT,11/05/2024,"Zelle payment from SHAFI U ANSARI 22615629382",600.00,QUICKPAY_CREDIT,779.01,,
DEBIT,11/01/2024,"Zelle payment to Zaki Ansari 22373548197",-30.00,QUICKPAY_DEBIT,179.01,,
DEBIT,10/30/2024,"TEAM REHABILITATION S 586-416-9100 MI        10/28",-40.00,DEBIT_CARD,209.01,,
CREDIT,10/29/2024,"$100 for New Checking",100.00,MISC_CREDIT,249.01,,
DEBIT,10/28/2024,"MEIJER # 214 PLAINFIELD IL                   10/27",-12.95,DEBIT_CARD,149.01,,
DEBIT,10/28/2024,"TEAM REHABILITATION S 586-416-9100 MI        10/24",-40.00,DEBIT_CARD,161.96,,
DEBIT,10/25/2024,"EXPRESSVPN.COM HTTPSWWW.EXPR DE              10/25",-99.95,DEBIT_CARD,201.96,,
DEBIT,10/23/2024,"TEAM REHABILITATION S 586-416-9100 MI        10/21",-40.00,DEBIT_CARD,301.91,,
DEBIT,10/17/2024,"NORDRACKCOM8889666283 888-966-6283 CA        10/16",-74.34,DEBIT_CARD,341.91,,
DEBIT,10/16/2024,"TEAM REHABILITATION SE CLINTON TWP MI        10/14",-40.00,DEBIT_CARD,416.25,,
DEBIT,10/15/2024,"Zelle payment to Zaki Ansari 22375117293",-30.00,QUICKPAY_DEBIT,456.25,,
DEBIT,10/15/2024,"Zelle payment to Abdullah Raza JPM99apdg467",-13.75,CHASE_TO_PARTNERFI,486.25,,
DEBIT,10/15/2024,"EEH-MYCHART 866-756-8348 IL                  10/13",-250.00,DEBIT_CARD,500.00,,
CREDIT,10/15/2024,"Zelle payment from SHAFI U ANSARI 22371921730",250.00,QUICKPAY_CREDIT,750.00,,
CREDIT,10/09/2024,"Zelle payment from SHAFI U ANSARI 22324298217",100.00,QUICKPAY_CREDIT,500.00,,
CREDIT,10/09/2024,"Zelle payment from SHAFI U ANSARI 22325047783",400.00,QUICKPAY_CREDIT,400.00,,
